,hiduke,jikoku_code,power
17702,2019-01-13,39,19757.3509253971
17703,2019-01-13,40,19740.11740216136
17704,2019-01-13,41,19091.866802743516
17705,2019-01-13,42,19091.866802743516
17706,2019-01-13,43,18376.44799201531
17707,2019-01-13,44,18344.630204295387
17708,2019-01-13,45,17933.27507437647
17709,2019-01-13,46,17843.80619879649
17710,2019-01-13,47,17078.54491467997
17711,2019-01-13,48,17078.54491467997
17712,2019-01-14,1,15129.968520057872
17713,2019-01-14,2,15129.968520057872
17714,2019-01-14,3,14896.465097540473
17715,2019-01-14,4,14870.007322711572
17716,2019-01-14,5,14701.906070906805
17717,2019-01-14,6,14701.906070906805
17718,2019-01-14,7,14701.906070906805
17719,2019-01-14,8,14701.906070906805
17720,2019-01-14,9,14701.906070906805
17721,2019-01-14,10,14701.906070906805
17722,2019-01-14,11,14863.68678152304
17723,2019-01-14,12,14881.221579077495
17724,2019-01-14,13,16874.603757785408
17725,2019-01-14,14,16874.603757785408
17726,2019-01-14,15,18563.41178313356
17727,2019-01-14,16,18563.41178313356
17728,2019-01-14,17,19675.552013295626
17729,2019-01-14,18,19785.432418561297
17730,2019-01-14,19,20129.846543096257
17731,2019-01-14,20,20163.2356341894
17732,2019-01-14,21,20134.161609959403
17733,2019-01-14,22,20134.161609959403
17734,2019-01-14,23,19378.24279147974
17735,2019-01-14,24,19378.24279147974
17736,2019-01-14,25,19144.810982451083
17737,2019-01-14,26,19144.810982451083
17738,2019-01-14,27,18535.83971072932
17739,2019-01-14,28,18535.83971072932
17740,2019-01-14,29,18200.455700966115
17741,2019-01-14,30,18200.455700966115
17742,2019-01-14,31,17786.11071316094
17743,2019-01-14,32,17786.11071316094
17744,2019-01-14,33,18113.163065636192
17745,2019-01-14,34,18345.716541871872
17746,2019-01-14,35,18875.165180354867
17747,2019-01-14,36,18875.165180354867
17748,2019-01-14,37,19221.699586928564
17749,2019-01-14,38,19221.699586928564
17750,2019-01-14,39,19836.87834522591
17751,2019-01-14,40,19812.919370177256
17752,2019-01-14,41,18982.45010465647
17753,2019-01-14,42,18982.45010465647
17754,2019-01-14,43,18252.545911469846
17755,2019-01-14,44,18252.545911469846
17756,2019-01-14,45,17957.67696181205
17757,2019-01-14,46,17957.67696181205
17758,2019-01-14,47,17057.05009730198
17759,2019-01-14,48,17057.05009730198
17760,2019-01-15,1,15739.621875809878
17761,2019-01-15,2,15739.621875809878
17762,2019-01-15,3,15163.767566238103
17763,2019-01-15,4,15163.767566238103
17764,2019-01-15,5,14718.104882331927
17765,2019-01-15,6,14718.104882331927
17766,2019-01-15,7,14718.104882331927
17767,2019-01-15,8,14718.104882331927
17768,2019-01-15,9,14718.104882331927
17769,2019-01-15,10,14718.104882331927
17770,2019-01-15,11,14895.062591537097
17771,2019-01-15,12,14895.062591537097
17772,2019-01-15,13,16911.027268363745
17773,2019-01-15,14,16911.027268363745
17774,2019-01-15,15,18164.79415714368
17775,2019-01-15,16,18164.79415714368
17776,2019-01-15,17,19445.932555522773
17777,2019-01-15,18,19445.932555522773
17778,2019-01-15,19,20008.499372092454
17779,2019-01-15,20,20050.842945145414
17780,2019-01-15,21,19634.55319889018
17781,2019-01-15,22,19634.55319889018
